,sentiment
技术,-0.11232204778217994
剧,-0.07852803380237616
辣椒,-0.10883831457071945
沙子,-0.1457271955588152
没错,-0.10871867518877033
孃,-0.17006306905042776
不香,-0.06429381609380976
锅,-0.11307359767459094
大家,-0.11791116946014932
速度,-0.1454920650635228
打少,-0.15244131521417525
盛菜,-0.13125377499164242
帅哥,-0.10093043176558718
反而,-0.1976776128185278
症,-0.11093960220718921
抱歉,-0.06635904663625453
想要,-0.16419871225696822
嘴里,-0.16378743219408326
努力,-0.15078497385571346
差,-0.15625770777243686
认识,-0.09053383552986627
就算,-0.1939210181320707
贵,-0.09523081753776838
太少,-0.12090074791581748
有次,-0.08568740729363111
吃个,-0.1209641864677985
素菜,-0.13380774766027115
作业,-0.11364402427612376
二两五,-0.15973547308403863
猪头,-0.16284382988557006
上课,-0.1264398655232226
哥哥,-0.11941120539551292
慢,-0.05612240830932005
本人,-0.09470212515084339
习惯,-0.11091661683407514
几乎,-0.07182824298252592
操作,-0.196403990483644
甜甜,-0.09046682847741261
本来,-0.1827873207959536
面条,-0.17197935013627894
手一抖,-0.08868014727369172
小时候,-0.0644054448095304
星辰,-0.0803539140846363
点菜,-0.15633260490665885
钉子,-0.09316743820278339
手法,-0.1078452232977517
越,-0.1431816680502777
一打,-0.09717983030502084
小孩,-0.10612700266442121
狗头,-0.16798870309851296
树叶,-0.13153424295331065
上班,-0.09619196009333875
刷卡,-0.1380657765929545
评论,-0.08771857914129993
终于,-0.13529580976919647
卖,-0.14704277631793106
家,-0.0988558379219842
刚刚,-0.07586312074729976
当场,-0.15150376432016113
汉堡,-0.12827700677847623
妹妹,-0.12306187426932838
饭盒,-0.10742498209189155
患者,-0.11899398969743766
领导,-0.13698910526942984
鸡爪疯,-0.0576313657800005
会抖,-0.16349991662507568
一个劲,-0.1610872892052866
小雪,-0.08325841319457598
陈陈,-0.07093625897668854
放入,-0.13133322777550197
香不带,-0.07962284533630712
我来,-0.15525521455148764
生意,-0.21058370850738434
爆满,-0.18515255647132411
看病,-0.1266642138956653
三块,-0.22785076043975971
红烧肉,-0.1447433170794552
天下,-0.21371286527712657
啾,-0.16008761862717436
咪,-0.1684878577690112
抖下来,-0.09823322653364099
晚安,-0.09181425734949124
两次,-0.05794126799099523
长得帅,-0.08501842656177669
职业病,-0.03462489364991139
不爱,-0.09407875210058894
请问,-0.10739085411641791
拼命,-0.11872121713719323
故意,-0.0791305473437483
蛆,-0.10285495591099836
健康,-0.11475141488679984
油,-0.06930495472468198
疑问,-0.051911077890951576
一斤,-0.14612627268969508
初一,-0.11562202529021139
女孩,-0.06834688631204434
粉,-0.10290994199326822
太太,-0.0628439244182845
免费,-0.12648690447160754
点儿,-0.09909340856097607
重新,-0.15055189226378554
猪肉,-0.1676142538615928
毛,-0.1375624014038046
保证,-0.08513057069850717
体验,-0.15337860058873445
仙女,-0.10912632640456914
喵,-0.09232298528458782
医院,-0.09622762368537416
老是,-0.1106413938595141
丝,-0.12155477287118352
开除,-0.1231211409949845
单位,-0.09607118038772784
老多,-0.07529090121428163
不好意思,-0.0837780054891654
检查,-0.12654290534040732
唯一,-0.15641262977741968
一桶,-0.14969666351433258
基本,-0.06010126266489876
太像,-0.0780177534561732
拿走,-0.10747434132578759
扔,-0.11116153332674798
卫生,-0.11666885923999393
宝贝,-0.07356962653546134
绝对,-0.06114680559885432
星河,-0.054663059292921035
灵光一闪,-0.14598259347123144
崽,-0.11460375929650338
超级,-0.1209288039826149
灰,-0.18422596026204113
牙,-0.13382111420074216
早餐,-0.1334505626359775
几下,-0.09917154700630493
手别,-0.018178881775436147
夹,-0.12720979981307132
今晚,-0.05997848540334338
表示,-0.13486861140650042
刚,-0.10261019489440094
菜饭,-0.10649949994496806
排骨,-0.1425964197466283
当年,-0.09427666964311313
大部分,-0.11240813937899063
委屈,-0.1256149537723134
严重,-0.04624322197969713
满心,-0.10146291811328832
满意,-0.09234658692966319
蛋白质,-0.07731177030167652
没人要,-0.1516094518383919
弄少,-0.17032649705158265
盆里,-0.18922108188386172
一共,-0.25436587503233854
叼,-0.16773625330343694
好惨,-0.09159368927588968
肚子,-0.09780955555695328
颠勺,-0.12815289878999153
盈盈,-0.092116551042262
永远都是,-0.10161180007653675
两大勺,-0.12174538872031698
拿回去,-0.11740242778531128
怪兽,-0.04970346434447784
见过,-0.12008743837935287
初三,-0.07639064818939506
花钱,-0.11436727489687007
沙雕,-0.08341986883551022
同感,-0.041402487902254315
社会,-0.11825403528256215
係,-0.060256741525471516
呦,-0.11950463294344862
气,-0.09470967187764605
一盆,-0.1525318352652809
好家伙,-0.07845946173069335
帅,-0.08049673333329349
愿意,-0.12471473475510059
非要,-0.0598910275532795
恶心,-0.10609858089532828
好好,-0.12843582587815291
加多,-0.06301867822387622
抽筋,-0.07319062263571477
快乐,-0.08521790030882918
姑娘,-0.09141699977290003
斗,-0.13437726683648107
牛肉,-0.1574721078225089
容易,-0.08432425491093422
放在,-0.1098813874794502
早上,-0.11598610315215695
指甲,-0.08148106842352917
吐出来,-0.12032119881615581
估计,-0.15813291384835848
说明,-0.07450094774314026
生活,-0.09480415658161337
一堆,-0.11704431415204168
心里,-0.10118966050800508
信,-0.15057552217547485
搞不懂,-0.15302627751385287
试试,-0.09962911646762912
全都,-0.08934402642515644
塑料,-0.11262678063914335
算,-0.08405369486811082
我怕,-0.10341442394275077
专业,-0.0680893986147435
晚上,-0.11417909431153558
玩意,-0.12339395141896925
叫声,-0.10048868507742836
关键,-0.08675559442970655
紫薇别走,-0.0965003199130812
太慢,-0.056616640715640515
学期,-0.10361351630025921
至少,-0.11003163108465186
个人,-0.10943237387447706
巴不得,-0.054451873748935044
哭,-0.059080505741874165
两勺,-0.0750299650867307
鸡块,-0.16320834023549036
端,-0.13562480781786138
同一个,-0.05118739924822836
出现,-0.14255783663317248
皱眉,-0.0969755384929109
七,-0.04517273215703151
抖动,-0.15948054406104945
睡觉,-0.0778871857126788
打得,-0.08585987208140183
加菜,-0.07812504898178765
听说,-0.08242296998616457
饭里,-0.07685762763030096
只能,-0.06785824138431465
喔,-0.0749052410045669
没关系,-0.10410237634122596
激动,-0.1257772415038345
颤抖,-0.09432310101407357
不得了,-0.02687596819200596
还会,-0.09226285055704414
茶,-0.0704029954307119
打工,-0.0669695369987656
忘,-0.1057552700026482
加点,-0.07544281555956103
筹钱,-0.1412705877064586
执念,-0.02471786448607734
梦,-0.023048972045646734
学堂,-0.12532555921012667
德,-0.09272511865180373
小婷,-0.03390668595057518
一个打,-0.08022644431482687
夫人,-0.03697643781751816
神功,-0.0643438296529674
厂,-0.023752985194664067
花生,-0.1373097817528378
寻思,-0.023859825198389334
宿舍,-0.07671921240942615
打到,-0.09360175414038198
挺好吃,-0.08042707727269183
暴脾气,-0.05759106986240688
服,-0.06380542202005958
臭,-0.11099341997034501
不对,-0.06900678225438686
哒,-0.04149652373394851
嗝,-0.09605176509142047
一个月,-0.10598508098912514
省,-0.0795253002898769
随便,-0.07313414502730514
一脸,-0.09744945736320715
监督,-0.12407689715538733
早点,-0.12158523825744265
换,-0.1405401342464353
吃过饭,-0.07260830971272153
蚊子,-0.11624569985774767
炒鸡蛋,-0.09070243350255672
思考,-0.07905193313658224
同样,-0.09782700784550144
醉,-0.13000824487589985
石子,-0.09493153817082645
两只,-0.11383334457124135
抠,-0.08939211030188013
幸福,-0.08138285368231579
这算,-0.08799195600019118
胡萝卜,-0.06924113644789481
教导,-0.09296278263297558
三年,-0.10443575421939191
读,-0.10739312142095483
一个样,-0.031033359880887727
两下,-0.05920480908942179
易,-0.07512272503580965
可乐,-0.09192865050939222
甜,-0.1433086737957615
就要,-0.11660657734551845
两块,-0.15194588509281484
捞,-0.12397249489748145
知足,-0.05470613283588194
一看,-0.10141677669587654
小心,-0.11225182388349995
菜汤,-0.1073108557636797
付钱,-0.06267944174762821
钢球,-0.10577451832819583
垃圾,-0.03944975718621669
赞赞,-0.09117961943520755
荤菜,-0.13714524443396797
一小,-0.09488233775297289
说话,-0.11461522354137438
一楼,-0.08799032147326023
竟然,-0.10775416225156959
从来没,-0.06329850145277786
坏,-0.13182350046566244
抖下,-0.0650523353683397
曦,-0.0010885710326711453
鸡排,-0.06988492717132028
不错,-0.09892607041605232
癫痫,-0.06672794357786753
儿,-0.09704764714784214
啵,-0.07552425764710288
自助餐,-0.07803465806487608
我能,-0.1003165852924792
铁,-0.10684949292544096
放进去,-0.08771706533841764
中国,-0.058713716075337964
老鼠,-0.11222364106156422
是因为,-0.13479194609458947
星期,-0.08005310194502419
家长,-0.07782239484256587
睡,-0.06992553146795338
筷子,-0.1413122920785707
不到,-0.13268439177051186
总,-0.07015212175332239
发呆,-0.0752316006203005
抖音,-0.06742520220459891
早,-0.07558806582727273
地方,-0.10371830006173638
粥,-0.10692253979349578
殇,-0.06400066301313664
奶茶,-0.09968263050863707
装不下,-0.10483452676302839
技能,-0.070956532302074
其他人,-0.06764950483589405
老公,-0.10188097317539409
赚,-0.09254899365660446
零食,-0.11984276486207937
韩,-0.12988783493204492
学费,-0.0758564761596571
少女,-0.06656430399430993
好不容易,-0.09061207787581059
眼睁睁,-0.0861388022732666
可怕,-0.1023005348472297
熟悉,-0.07668807869827357
二中,-0.0730380605579165
小胖,-0.0676516198637039
嬢,-0.10259796686928807
场景,-0.08601227449525517
矮,-0.08733294207956127
凉城,-0.04907648331333886
高三,-0.0885198589754306
藏,-0.1077598709506412
正在,-0.08021459140095852
东北,-0.08788711183531636
励志,-0.0979187412989937
脸上,-0.12868715677999631
气不气,-0.123394612718396
足,-0.10331270242690307
愿,-0.06728380370957793
只会,-0.0870987784353647
发抖,-0.0869515639104217
特多,-0.05116570265283097
我班,-0.04287316761730561
拆,-0.03599178326113513
正常,-0.07308412736444339
桌子,-0.0888464843507292
巧,-0.06389499109229956
门口,-0.10576610548899545
抠门,-0.09415377608096154
十斤,-0.04152801023748505
离开,-0.1066577164690386
干到底,-0.13514951130714484
重复,-0.14453920189757502
钟意,-0.014436835506998364
优惠,-0.036453262862169
烧,-0.050798433823713914
干过,-0.1439463116166551
一件,-0.18160013212272552
事吐,-0.18449313743801604
唾沫,-0.1526745599206279
块钱,-0.17256949516426384
棍子,-0.05494253438792192
棒棒糖,-0.16894510281933628
拽,-0.20029897302840188
萌面,-0.1299037688806294
抢,-0.04631369011090355
蒲桂桂,-0.041144887073723234
亲春,-0.06853109986659353
时光,-0.052952395476046576
小葵,-0.07224446569125793
措缘,-0.11309771940208896
合则,-0.153935203204369
聚缘,-0.15865023196600853
灭,-0.125887198256634
散,-0.08436405417143907
大厨,-0.07356775834996157
一流,-0.05886141311172391
赢,-0.0639540841399837
鲍鱼,-0.09521366781326296
潇伊懂,-0.09929126939258123
办公室,-0.05679918980567551
负责,-0.04484720183519954
路过,-0.06039853619529045
酱油,-0.06423265970737316
配音,-0.05019206184763059
歌名,-0.0710627783236513
帕金森病,-0.07690739182491155
心酸,-0.028680724607689355
手速,-0.07297435803786256
呵呵,-0.03413506044858501
上学时,-0.07783123690722554
舍不得,-0.06339948566440948
鸡肉,-0.07968597451159548
方法,-0.06163149536808689
眼里,-0.044465443605026855
点个,-0.08394655653850322
颜值,-0.01726054840240575
没人,-0.07608326794446146
你家,-0.05859148855021177
半碗,-0.07227980121212067
到处,-0.04726267397679154
意思,-0.02061368170777994
练,-0.06510206620548906
一道,-0.08771620228651952
池塘,-0.07471732865503193
打包,-0.06605895639736543
建议,-0.04807094522648168
鸡蛋壳,-0.03242498390331104
仔,-0.054597384750485395
我点,-0.10395318989573238
几块,-0.06820966019052611
紫菜,-0.06461840361106143
大金牙,-0.07898890152276031
炸,-0.03443577167222048
猛如虎,-0.13044105268098202
几次,-0.04558031183235264
限流,-0.05648283115550731
琪琪,-0.07887202831498644
才能,-0.053298992542871904
王,-0.052483404444452084
玩,-0.050615735176588066
掏,-0.08738167058145058
饼,-0.09072633576300171
一次性,-0.10613376222905874
骨头,-0.11013908656968731
心疼,-0.05203971843730647
转学,-0.07433208187787398
地上,-0.07038589043150092
开心,-0.07002153229439423
不知,-0.03857230434688717
刚好,-0.06041998368256672
餐厅,-0.05011538684753568
打个,-0.06394806795227481
那次,-0.07110961627888696
同学们,-0.049011616793457474
学,-0.06745823254734098
傻,-0.0769151661870316
出去,-0.09790990202773385
无语,-0.06720939172108908
生,-0.06303486472834258
嘴,-0.1619167074070796
大方,-0.10881715158443903
抖菜,-0.020002889559977068
刀片,-0.10219407906990746
需要,-0.08181531955641694
辛苦,-0.053622865216419444
人生,-0.07706258892558585
一种,-0.061849134566629646
老鼠屎,-0.08686197193221032
叫妈,-0.08822722258954321
呐,-0.01982271609837314
蜘蛛,-0.06030248691063734
花,-0.06714507100175361
铁钉,-0.08457357292894904
好处,-0.0803884632049834
办法,-0.036974155406555784
作者,-0.08591525261823363
最好,-0.07878355072313589
狗,-0.03663970846522163
羡慕,-0.0519750543994855
混,-0.06686450469353195
盛满,-0.04299848500364451
宝藏,-0.03911557047049845
撇嘴,-0.06412264746187141
小可爱,-0.043370506603851416
我长,-0.04570635595313113
相反,-0.08272121962012215
家里,-0.07505666154106433
体会,-0.08948270011266421
在座,-0.05773667124389534
日常,-0.028603326178195776
见,-0.08331538009593559
尬笑,-0.10130773279596804
熬夜,-0.044192158376451476
失望,-0.06171218842524007
马上,-0.07109045300297985
选择,-0.0918945738683938
问题,-0.0790678117168456
猪毛,-0.0816944655075707
上去,-0.04511240556545465
冬瓜,-0.10454152959327231
实验,-0.0939192361771731
抹布,-0.10833521398470364
基本上,-0.0601538771774838
喝酒,-0.04723627840350163
手机,-0.08878146836082372
口,-0.07809624682401531
不太,-0.025663893903971204
师傅,-0.07172079998734722
做饭,-0.063626764977196
比心,-0.10208484358221741
瓢,-0.07931011688915393
第一次,-0.07455592184692345
烨,-0.07859108222202481
饿死,-0.0898508665332989
一周,-0.11537034701635987
餐盘,-0.07890434654659384
盆,-0.11204881962299457
老好,-0.028321992649932317
幅度,-0.11700801437493336
朱,-0.07497520544444072
一米,-0.11275604002053087
盖,-0.064806850562933
拍,-0.04337850780887718
毕业,-0.04835855498277455
挑出来,-0.0863579158643235
蛇,-0.11198195396837038
锯子,-0.136924194470841
憨笑,-0.041371315195020256
欣,-0.08065252310632118
疯,-0.06043965704291854
鱼,-0.04388377662471438
怂,-0.04001456771639801
酥,-0.053893164588218676
